image,quality
829_left,1
829_right,1
831_left,1
831_right,1
838_left,1
838_right,1
839_left,1
839_right,1
842_left,1
842_right,1
844_left,1
844_right,1
845_left,1
845_right,1
851_left,1
851_right,1
857_left,1
857_right,1
862_left,1
862_right,1
863_left,1
863_right,1
865_left,1
865_right,1
866_left,1
866_right,1
869_left,1
869_right,1
876_left,1
876_right,1
877_left,1
877_right,1
878_left,1
878_right,1
879_left,1
879_right,1
880_left,1
880_right,1
885_left,1
885_right,1
886_left,1
886_right,1
897_left,0
897_right,1
899_left,1
899_right,1
904_left,1
904_right,1
905_left,1
905_right,1
906_left,1
906_right,1
909_left,1
909_right,1
910_left,1
910_right,1
912_left,1
912_right,1
914_left,1
914_right,1
916_left,1
916_right,1
917_left,1
917_right,1
921_left,1
921_right,1
925_left,1
925_right,1
928_left,0
928_right,1
929_left,1
929_right,1
930_left,1
930_right,1
931_left,1
931_right,1
932_left,1
932_right,1
934_left,1
934_right,1
935_left,1
935_right,1
936_left,1
936_right,1
939_left,1
939_right,1
940_left,0
940_right,1
941_left,1
941_right,1
943_left,1
943_right,1
945_left,1
945_right,1
947_left,0
947_right,1
953_left,1
953_right,1
958_left,1
958_right,1
959_left,1
959_right,1
960_left,1
960_right,1
963_left,1
963_right,1
966_left,1
966_right,1
967_left,1
967_right,1
968_left,1
968_right,1
969_left,1
969_right,1
970_left,1
970_right,1
971_left,1
971_right,1
977_left,1
977_right,1
978_left,1
978_right,1
979_left,1
979_right,1
980_left,1
980_right,1
983_left,1
983_right,1
985_left,1
985_right,1
986_left,0
986_right,1
987_left,1
987_right,1
990_left,1
990_right,0
992_left,1
992_right,1
994_left,1
994_right,1
997_left,1
997_right,1
998_left,1
998_right,1
1000_left,1
1000_right,1
1002_left,1
1002_right,1
1008_left,0
1008_right,1
1011_left,1
1011_right,1
1012_left,1
1012_right,1
1017_left,1
1017_right,1
1020_left,1
1020_right,1
1021_left,1
1021_right,1
1024_left,1
1024_right,1
1027_left,1
1027_right,1
1029_left,1
1029_right,1
1030_left,1
1030_right,1
1032_left,1
1032_right,1
1034_left,1
1034_right,1
1035_left,1
1035_right,1
1036_left,1
1036_right,1
1037_left,1
1037_right,1
1040_left,1
1040_right,1
1041_left,1
1041_right,1
1042_left,1
1042_right,1
1043_left,1
1043_right,1
1044_left,1
1044_right,1
1047_left,1
1047_right,1
1049_left,1
1049_right,1
1050_left,1
1050_right,1
1051_left,0
1051_right,0
1052_left,0
1052_right,1
1055_left,1
1055_right,1
1056_left,1
1056_right,1
1057_left,1
1057_right,1
1058_left,1
1058_right,1
1059_left,1
1059_right,1
1061_left,1
1061_right,1
1070_left,1
1070_right,1
1073_left,1
1073_right,1
1075_left,1
1075_right,1
1076_left,1
1076_right,1
1077_left,1
1077_right,1
1084_left,1
1084_right,1
1088_left,1
1088_right,1
1092_left,0
1092_right,1
1093_left,1
1093_right,1
1096_left,1
1096_right,1
1098_left,1
1098_right,1
1099_left,1
1099_right,1
1100_left,1
1100_right,1
1102_left,1
1102_right,1
1107_left,1
1107_right,1
1111_left,1
1111_right,1
1113_left,1
1113_right,1
1116_left,1
1116_right,0
1119_left,0
1119_right,1
1120_left,1
1120_right,1
1123_left,1
1123_right,0
1127_left,1
1127_right,1
1131_left,1
1131_right,1
1133_left,0
1133_right,1
1135_left,1
1135_right,1
1136_left,1
1136_right,1
1138_left,1
1138_right,1
1139_left,1
1139_right,1
1140_left,1
1140_right,1
1142_left,1
1142_right,1
1144_left,1
1144_right,1
1145_left,1
1145_right,1
1146_left,1
1146_right,1
1147_left,1
1147_right,1
1152_left,1
1152_right,1
1161_left,1
1161_right,1
1162_left,1
1162_right,1
1165_left,1
1165_right,1
1167_left,1
1167_right,1
1170_left,1
1170_right,1
1172_left,1
1172_right,1
1177_left,1
1177_right,1
1178_left,1
1178_right,1
1179_left,1
1179_right,1
1180_left,1
1180_right,1
1182_left,1
1182_right,1
1188_left,1
1188_right,1
1192_left,1
1192_right,1
1196_left,1
1196_right,1
1197_left,1
1197_right,1
1199_left,1
1199_right,1
1202_left,0
1202_right,0
1204_left,1
1204_right,1
1206_left,1
1206_right,1
1211_left,1
1211_right,1
1212_left,1
1212_right,1
1222_left,1
1222_right,1
1226_left,1
1226_right,1
1228_left,0
1228_right,1
1233_left,1
1233_right,1
1240_left,1
1240_right,0
1242_left,1
1242_right,1
1255_left,1
1255_right,1
1259_left,1
1259_right,1
1260_left,1
1260_right,1
1266_left,1
1266_right,1
1267_left,1
1267_right,1
1269_left,1
1269_right,1
1272_left,1
1272_right,1
1275_left,1
1275_right,1
1277_left,1
1277_right,1
1282_left,1
1282_right,1
1283_left,1
1283_right,1
1285_left,1
1285_right,1
1289_left,0
1289_right,1
1290_left,1
1290_right,1
1292_left,1
1292_right,1
1294_left,1
1294_right,1
1296_left,1
1296_right,1
1297_left,1
1297_right,1
1299_left,1
1299_right,1
1302_left,1
1302_right,1
1305_left,1
1305_right,1
1306_left,1
1306_right,1
1307_left,1
1307_right,1
1309_left,1
1309_right,1
1312_left,1
1312_right,1
1313_left,1
1313_right,1
1316_left,1
1316_right,1
1318_left,1
1318_right,1
1322_left,1
1322_right,1
1324_left,1
1324_right,1
1330_left,0
1330_right,0
1332_left,1
1332_right,1
1333_left,1
1333_right,1
1334_left,1
1334_right,1
1336_left,1
1336_right,1
1343_left,1
1343_right,1
1346_left,0
1346_right,1
1347_left,1
1347_right,1
1348_left,1
1348_right,1
1349_left,0
1349_right,1
1350_left,1
1350_right,1
1351_left,0
1351_right,1
1353_left,1
1353_right,1
1356_left,1
1356_right,1
1357_left,1
1357_right,1
1358_left,1
1358_right,1
1361_left,1
1361_right,1
1362_left,1
1362_right,0
1363_left,1
1363_right,1
1367_left,1
1367_right,1
1369_left,1
1369_right,1
1370_left,1
1370_right,1
1373_left,1
1373_right,1
1374_left,1
1374_right,1
1377_left,1
1377_right,1
1378_left,1
1378_right,1
1387_left,1
1387_right,1
1388_left,1
1388_right,1
1391_left,1
1391_right,1
1393_left,1
1393_right,1
1394_left,1
1394_right,1
1395_left,1
1395_right,1
1396_left,1
1396_right,1
1399_left,1
1399_right,1
1407_left,0
1407_right,1
1408_left,1
1408_right,1
1409_left,1
1409_right,1
1411_left,1
1411_right,1
1412_left,1
1412_right,1
1418_left,1
1418_right,1
1419_left,1
1419_right,1
1420_left,1
1420_right,1
1422_left,1
1422_right,1
1424_left,1
1424_right,1
1425_left,1
1425_right,1
1427_left,1
1427_right,1
1429_left,1
1429_right,1
1430_left,1
1430_right,1
1431_left,1
1431_right,1
1432_left,1
1432_right,1
1439_left,1
1439_right,1
1444_left,1
1444_right,1
1446_left,1
1446_right,1
1449_left,1
1449_right,1
1452_left,1
1452_right,1
1454_left,1
1454_right,1
1469_left,1
1469_right,1
1471_left,1
1471_right,1
1475_left,0
1475_right,1
1478_left,1
1478_right,1
1480_left,1
1480_right,1
1481_left,1
1481_right,1
1487_left,1
1487_right,1
1488_left,1
1488_right,1
1492_left,1
1492_right,1
1493_left,1
1493_right,1
1495_left,1
1495_right,1
1496_left,1
1496_right,1
1497_left,1
1497_right,1
1499_left,1
1499_right,0
1500_left,1
1500_right,1
1501_left,1
1501_right,1
1502_left,1
1502_right,1
1504_left,1
1504_right,1
1505_left,1
1505_right,1
1506_left,1
1506_right,1
1507_left,1
1507_right,1
1508_left,1
1508_right,1
1509_left,1
1509_right,1
1513_left,1
1513_right,1
1514_left,1
1514_right,1
1516_left,1
1516_right,1
1520_left,1
1520_right,1
1524_left,0
1524_right,0
1526_left,1
1526_right,1
1527_left,1
1527_right,1
1528_left,1
1528_right,1
1530_left,1
1530_right,1
1532_left,1
1532_right,1
1536_left,1
1536_right,1
1540_left,1
1540_right,1
1541_left,1
1541_right,1
1544_left,1
1544_right,1
1550_left,1
1550_right,1
1551_left,1
1551_right,1
1552_left,1
1552_right,1
1557_left,0
1557_right,1
1563_left,1
1563_right,1
1569_left,1
1569_right,1
1570_left,1
1570_right,1
1574_left,1
1574_right,1
1579_left,1
1579_right,1
1586_left,1
1586_right,1
1588_left,1
1588_right,1
1589_left,1
1589_right,1
1592_left,1
1592_right,1
1595_left,1
1595_right,1
1596_left,1
1596_right,1
1599_left,1
1599_right,1
1600_left,1
1600_right,1
1607_left,1
1607_right,1
1608_left,1
1608_right,1
1609_left,1
1609_right,1
1610_left,1
1610_right,1
1611_left,1
1611_right,1
1614_left,1
1614_right,1
1624_left,1
1624_right,1
1630_left,1
1630_right,1
1632_left,1
1632_right,1
1634_left,1
1634_right,1
1636_left,0
1636_right,1
1638_left,1
1638_right,1
1639_left,1
1639_right,1
1640_left,1
1640_right,1
1641_left,1
1641_right,1
1643_left,1
1643_right,1
1649_left,1
1649_right,1
1650_left,1
1650_right,1
1651_left,1
1651_right,1
1655_left,0
1655_right,0
1658_left,1
1658_right,1
1659_left,1
1659_right,1
1660_left,1
1660_right,1
1663_left,1
1663_right,1
1666_left,1
1666_right,1
1667_left,1
1667_right,1
1669_left,1
1669_right,1
1672_left,1
1672_right,1
1673_left,1
1673_right,1
1674_left,1
1674_right,1
1675_left,0
1675_right,1
1678_left,1
1678_right,1
1680_left,1
1680_right,1
1687_left,1
1687_right,1
1688_left,1
1688_right,1
1689_left,1
1689_right,1
1696_left,1
1696_right,1
1698_left,1
1698_right,1
1702_left,1
1702_right,1
1706_left,1
1706_right,1
1710_left,1
1710_right,1
1713_left,1
1713_right,1
1718_left,0
1718_right,1
1719_left,1
1719_right,1
1722_left,0
1722_right,0
1724_left,1
1724_right,1
1727_left,1
1727_right,1
1732_left,1
1732_right,1
1733_left,1
1733_right,1
1736_left,1
1736_right,1
1737_left,0
1737_right,0
1741_left,1
1741_right,1
1742_left,1
1742_right,1
1743_left,1
1743_right,1
1744_left,0
1744_right,1
1749_left,0
1749_right,1
1751_left,1
1751_right,1
1752_left,1
1752_right,1
1754_left,1
1754_right,1
1756_left,1
1756_right,1
1759_left,1
1759_right,1
1763_left,1
1763_right,1
1764_left,1
1764_right,1
1765_left,1
1765_right,1
1766_left,1
1766_right,1
1769_left,1
1769_right,1
1771_left,1
1771_right,1
1772_left,1
1772_right,1
1775_left,1
1775_right,1
1776_left,1
1776_right,1
1777_left,1
1777_right,1
1779_left,1
1779_right,1
1785_left,1
1785_right,1
1786_left,1
1786_right,1
1793_left,1
1793_right,1
1799_left,1
1799_right,1
1801_left,1
1801_right,1
1802_left,1
1802_right,1
1803_left,1
1803_right,1
1808_left,1
1808_right,1
1810_left,1
1810_right,1
1817_left,1
1817_right,1
1823_left,1
1823_right,1
1826_left,1
1826_right,1
1827_left,1
1827_right,1
1831_left,1
1831_right,1
1832_left,1
1832_right,1
1833_left,1
1833_right,1
1835_left,1
1835_right,1
1836_left,1
1836_right,1
1839_left,1
1839_right,1
1847_left,1
1847_right,1
1849_left,1
1849_right,1
1851_left,1
1851_right,1
1853_left,1
1853_right,1
1855_left,1
1855_right,1
1856_left,1
1856_right,1
1859_left,1
1859_right,1
1862_left,1
1862_right,1
1867_left,1
1867_right,1
1868_left,1
1868_right,1
1869_left,1
1869_right,1
1872_left,1
1872_right,1
1873_left,1
1873_right,1
1878_left,0
1878_right,0
1880_left,1
1880_right,1
1881_left,1
1881_right,1
1886_left,1
1886_right,1
1887_left,1
1887_right,1
1889_left,1
1889_right,1
1893_left,1
1893_right,1
1905_left,1
1905_right,1
1906_left,1
1906_right,1
1907_left,1
1907_right,1
1910_left,1
1910_right,1
1914_left,1
1914_right,1
1915_left,1
1915_right,1
1916_left,1
1916_right,1
1919_left,1
1919_right,1
1920_left,1
1920_right,1
1926_left,0
1926_right,0
1928_left,1
1928_right,1
1929_left,1
1929_right,1
1932_left,1
1932_right,1
1933_left,0
1933_right,1
1936_left,0
1936_right,1
1940_left,1
1940_right,1
1941_left,1
1941_right,1
1943_left,0
1943_right,1
1947_left,1
1947_right,1
1953_left,1
1953_right,1
1955_left,1
1955_right,1
1959_left,1
1959_right,1
1960_left,1
1960_right,1
1965_left,1
1965_right,1
1967_left,1
1967_right,1
1971_left,1
1971_right,1
1972_left,1
1972_right,1
1974_left,1
1974_right,1
1977_left,1
1977_right,1
1981_left,1
1981_right,1
1982_left,1
1982_right,1
1985_left,1
1985_right,1
1986_left,0
1986_right,1
1987_left,1
1987_right,1
1988_left,1
1988_right,1
1991_left,1
1991_right,1
1997_left,1
1997_right,1
1999_left,1
1999_right,1
2000_left,1
2000_right,1
2001_left,1
2001_right,1
2007_left,1
2007_right,1
2008_left,1
2008_right,1
2010_left,1
2010_right,1
2011_left,1
2011_right,1
2014_left,1
2014_right,1
2015_left,1
2015_right,1
2016_left,1
2016_right,1
2029_left,1
2029_right,1
2030_left,1
2030_right,0
2031_left,1
2031_right,1
2034_left,1
2034_right,1
2035_left,1
2035_right,1
2036_left,1
2036_right,0
2041_left,1
2041_right,1
2046_left,1
2046_right,1
2047_left,1
2047_right,1
2048_left,1
2048_right,1
2053_left,1
2053_right,1
2054_left,1
2054_right,1
2058_left,1
2058_right,1
2059_left,1
2059_right,1
2062_left,1
2062_right,1
2063_left,1
2063_right,1
2065_left,1
2065_right,1
2066_left,0
2066_right,1
2071_left,1
2071_right,1
2077_left,1
2077_right,1
2078_left,1
2078_right,1
2079_left,1
2079_right,1
2080_left,1
2080_right,1
2081_left,1
2081_right,1
2084_left,1
2084_right,1
2086_left,1
2086_right,1
2087_left,1
2087_right,1
2092_left,1
2092_right,1
2094_left,1
2094_right,1
2095_left,1
2095_right,1
2096_left,1
2096_right,1
2097_left,1
2097_right,1
2099_left,1
2099_right,1
2102_left,1
2102_right,1
2106_left,1
2106_right,1
2107_left,1
2107_right,0
2108_left,1
2108_right,1
2110_left,1
2110_right,1
2113_left,1
2113_right,1
2117_left,0
2117_right,1
2121_left,1
2121_right,1
2123_left,1
2123_right,1
2124_left,1
2124_right,1
2125_left,1
2125_right,1
2129_left,1
2129_right,1
2131_left,1
2131_right,1
2132_left,1
2132_right,1
2133_left,1
2133_right,1
2134_left,1
2134_right,1
2136_left,1
2136_right,1
2138_left,1
2138_right,1
2139_left,1
2139_right,0
2140_left,0
2140_right,1
2141_left,1
2141_right,1
2144_left,1
2144_right,1
2149_left,1
2149_right,1
2155_left,1
2155_right,1
2157_left,1
2157_right,1
2159_left,1
2159_right,0
2161_left,1
2161_right,1
2163_left,1
2163_right,1
2164_left,1
2164_right,1
2168_left,1
2168_right,1
2169_left,1
2169_right,1
2174_left,1
2174_right,1
2179_left,1
2179_right,1
2180_left,1
2180_right,1
2181_left,1
2181_right,1
2182_left,1
2182_right,1
2185_left,1
2185_right,1
2188_left,1
2188_right,1
2190_left,1
2190_right,1
2191_left,1
2191_right,1
2192_left,1
2192_right,1
2194_left,0
2194_right,1
2199_left,1
2199_right,1
2200_left,1
2200_right,1
2203_left,1
2203_right,1
2204_left,0
2204_right,1
2205_left,1
2205_right,1
2217_left,1
2217_right,1
2218_left,1
2218_right,1
2222_left,1
2222_right,1
2223_left,1
2223_right,1
2226_left,1
2226_right,1
2227_left,1
2227_right,1
2228_left,1
2228_right,1
2229_left,1
2229_right,1
2230_left,1
2230_right,1
2231_left,1
2231_right,1
2232_left,1
2232_right,1
2233_left,1
2233_right,1
2236_left,1
2236_right,1
2239_left,1
2239_right,1
2243_left,1
2243_right,1
2246_left,1
2246_right,1
2247_left,1
2247_right,1
2248_left,1
2248_right,1
2249_left,1
2249_right,1
2252_left,1
2252_right,1
2256_left,1
2256_right,1
2257_left,1
2257_right,1
2258_left,0
2258_right,1
2261_left,1
2261_right,1
2262_left,1
2262_right,1
2264_left,1
2264_right,1
2270_left,1
2270_right,1
2272_left,1
2272_right,1
2273_left,1
2273_right,1
2274_left,1
2274_right,1
2275_left,1
2275_right,1
2284_left,1
2284_right,1
2285_left,1
2285_right,1
2286_left,1
2286_right,1
2288_left,1
2288_right,1
2290_left,1
2290_right,1
2294_left,1
2294_right,1
2296_left,1
2296_right,1
2297_left,1
2297_right,1
2302_left,1
2302_right,1
2303_left,1
2303_right,1
2305_left,1
2305_right,1
2307_left,1
2307_right,1
2315_left,1
2315_right,1
2318_left,1
2318_right,1
2320_left,1
2320_right,1
2322_left,1
2322_right,1
2323_left,1
2323_right,1
2329_left,1
2329_right,1
2332_left,1
2332_right,1
2334_left,1
2334_right,1
2336_left,1
2336_right,1
2337_left,1
2337_right,1
2338_left,1
2338_right,1
2339_left,1
2339_right,1
2341_left,1
2341_right,1
2343_left,1
2343_right,1
2350_left,1
2350_right,1
2351_left,1
2351_right,1
2353_left,1
2353_right,1
2354_left,1
2354_right,1
2355_left,1
2355_right,1
2356_left,1
2356_right,1
2357_left,0
2357_right,1
2358_left,1
2358_right,1
2359_left,1
2359_right,1
2361_left,1
2361_right,1
2362_left,1
2362_right,1
2363_left,1
2363_right,1
2368_left,1
2368_right,1
2369_left,1
2369_right,1
2372_left,1
2372_right,1
2378_left,1
2378_right,1
2379_left,1
2379_right,1
2382_left,1
2382_right,1
2384_left,1
2384_right,1
2389_left,1
2389_right,1
2399_left,1
2399_right,1
2401_left,1
2401_right,1
2404_left,1
2404_right,1
2405_left,1
2405_right,1
2407_left,1
2407_right,1
2408_left,1
2408_right,1
2413_left,1
2413_right,1
2418_left,1
2418_right,1
2421_left,1
2421_right,1
2423_left,1
2423_right,1
2424_left,1
2424_right,1
2425_left,0
2425_right,1
2430_left,1
2430_right,1
2432_left,1
2432_right,1
2433_left,1
2433_right,1
2435_left,1
2435_right,1
2436_left,1
2436_right,1
2437_left,1
2437_right,1
2439_left,1
2439_right,1
2441_left,1
2441_right,1
2443_left,1
2443_right,1
2447_left,1
2447_right,1
2448_left,1
2448_right,1
2450_left,1
2450_right,1
2451_left,1
2451_right,1
2453_left,1
2453_right,1
2458_left,1
2458_right,1
2462_left,1
2462_right,1
2465_left,1
2465_right,1
2468_left,1
2468_right,1
2470_left,1
2470_right,1
2479_left,1
2479_right,1
2483_left,1
2483_right,1
2488_left,1
2488_right,1
2489_left,1
2489_right,1
2491_left,0
2491_right,0
2495_left,1
2495_right,1
2496_left,1
2496_right,1
2497_left,1
2497_right,1
2500_left,1
2500_right,1
2502_left,1
2502_right,1
2503_left,1
2503_right,1
2505_left,1
2505_right,1
2508_left,1
2508_right,1
2515_left,1
2515_right,1
2516_left,0
2516_right,1
2517_left,1
2517_right,1
2521_left,1
2521_right,1
2525_left,1
2525_right,1
2528_left,1
2528_right,1
2529_left,1
2529_right,1
2530_left,1
2530_right,1
2531_left,1
2531_right,1
2532_left,1
2532_right,1
2533_left,1
2533_right,1
2534_left,1
2534_right,1
2535_left,1
2535_right,1
2536_left,1
2536_right,1
2537_left,1
2537_right,1
2539_left,1
2539_right,1
2541_left,1
2541_right,1
2544_left,1
2544_right,1
2545_left,1
2545_right,1
2548_left,1
2548_right,1
2549_left,1
2549_right,1
2550_left,1
2550_right,1
2551_left,1
2551_right,1
2553_left,1
2553_right,1
2554_left,1
2554_right,1
2556_left,1
2556_right,1
2558_left,1
2558_right,1
2561_left,1
2561_right,1
2562_left,1
2562_right,1
2564_left,1
2564_right,1
2566_left,1
2566_right,1
2576_left,1
2576_right,1
2577_left,1
2577_right,1
2578_left,1
2578_right,1
2582_left,1
2582_right,1
2588_left,1
2588_right,1
2589_left,1
2589_right,1
2593_left,1
2593_right,1
2597_left,1
2597_right,1
2598_left,1
2598_right,1
2599_left,1
2599_right,1
2604_left,1
2604_right,1
2605_left,1
2605_right,1
2606_left,1
2606_right,1
2607_left,1
2607_right,1
2610_left,1
2610_right,1
2613_left,1
2613_right,1
2622_left,1
2622_right,1
2623_left,1
2623_right,1
2628_left,1
2628_right,1
2629_left,1
2629_right,1
2630_left,1
2630_right,1
2631_left,1
2631_right,1
